Topic,Count,Name,Representation,Representative_Docs
-1,268,-1_çok_güzel_için_ürün,"['çok', 'güzel', 'için', 'ürün', 'bir', 'ama', 've', 'aldım', 'kişilik', 'daha']","['acayip güzel bir ürün çok memnun kaldım gayet kaliteli ve başarılı kargolama da çok güzeldi sapa sağlam ulaştı elime satıcıya çok teşekkür ederim gönül rahatlığıyla alabilirsiniz', 'kesinlikle tavsiye ediyorum 4 kişilik bir aile için yeterli geldi bize ısıtması çok iyi çok beğendim kaliteli güzel 1 aydır kullanıyorum çok memnun kaldım', 'kesinlikle tavsiye ediyorum 4 kişilik bir aile için yeterli geldi bize ısıtması çok iyi çok beğendim kaliteli güzel 1 aydır kullanıyorum çok memnun kaldım']"
0,207,0_çok_ve_patates_güzel,"['çok', 've', 'patates', 'güzel', 'pişiriyor', 'oldu', 'bir', 'yaptım', 'tavuk', 'de']","['ürünü 1 hafta oldu alalı şimdilik tavuk balık kırmızı et ve patates yaptım hepsi de birbirinden güzel oldu dışı çıtır içi löp yumuşacık 20 dk da balık pişirdi ve koku falan asla olmadı ve bunların hepsini sıfır yağla yaptım patates hariç ona 1 kaşık yağ koydum ve gerçekten sağlıklı ve pratik yemekler ortaya çıktı phılıps ile arasında kalmıştım ama xiaominin içinden çoktan ızgara tel sayesinde 2 katlı kullanabiliyorsun yani daha fazla ürünü tek seferde yapmış olursun bu yüzden çok memnunum çalışan eşlere kesinlikle tavsiye ediyorum artık dışarda zorda kalmadıkça yemek yemem', 'ürünü 1 hafta oldu alalı şimdilik tavuk balık kırmızı et ve patates yaptım hepsi de birbirinden güzel oldu dışı çıtır içi löp yumuşacık 20 dk da balık pişirdi ve koku falan asla olmadı ve bunların hepsini sıfır yağla yaptım patates hariç ona 1 kaşık yağ koydum ve gerçekten sağlıklı ve pratik yemekler ortaya çıktı phılıps ile arasında kalmıştım ama xiaominin içinden çoktan ızgara tel sayesinde 2 katlı kullanabiliyorsun yani daha fazla ürünü tek seferde yapmış olursun bu yüzden çok memnunum çalışan eşlere kesinlikle tavsiye ediyorum artık dışarda zorda kalmadıkça yemek yemem', 'ürünü 1 hafta oldu alalı şimdilik tavuk balık kırmızı et ve patates yaptım hepsi de birbirinden güzel oldu dışı çıtır içi löp yumuşacık 20 dk da balık pişirdi ve koku falan asla olmadı ve bunların hepsini sıfır yağla yaptım patates hariç ona 1 kaşık yağ koydum ve gerçekten sağlıklı ve pratik yemekler ortaya çıktı phılıps ile arasında kalmıştım ama xiaominin içinden çoktan ızgara tel sayesinde 2 katlı kullanabiliyorsun yani daha fazla ürünü tek seferde yapmış olursun bu yüzden çok memnunum çalışan eşlere kesinlikle tavsiye ediyorum artık dışarda zorda kalmadıkça yemek yemem']"
1,103,1_anneme_hediye_aldım_çok,"['anneme', 'hediye', 'aldım', 'çok', 'hediyesi', 'olarak', 'günü', 'teşekkür', 'ederim', 'anneler']","['anneme hediye aldım çok memnun', 'çok güzel anneme hediye olarak aldım', 'çok güzel anneme hediye olarak aldım']"
2,88,2_teşekkür_çok_teşekkürler_ederim,"['teşekkür', 'çok', 'teşekkürler', 'ederim', 'geldi', 'beğendim', 'sağlık', 'elime', 'ulaştı', 'sağlam']","['ürün elime sağlam ulaştı çok beğenerek aldım zaten çok güzel çok beğendim teşekkür ederim', 'çok beğendim teşekkür ederim', 'çok beğendim teşekkür ederim']"
3,86,3_tavsiye_ederim_ürün_herkese,"['tavsiye', 'ederim', 'ürün', 'herkese', 'çok', 'bir', 'güzel', 've', 'adet', 'harika']","['ürün çok güzel çok kullanışlı tavsiye ederim', 'çok güzel bir ürün tavsiye ederim', 'çok güzel bir ürün tavsiye ederim']"
4,80,4_bir_ve_çok_ürün,"['bir', 've', 'çok', 'ürün', 'uygun', 'bu', 'göre', 'alın', 'fiyatına', 'ürünü']","['çok kullanışlı ve kaliteli bir ürün fiyatı da gayet uygun kargo hızlı ve sorunsuz bir şekilde elime ulaştı teşekkürler', 'çok kullanışlı ve kaliteli bir ürün fiyatı da gayet uygun kargo hızlı ve sorunsuz bir şekilde elime ulaştı teşekkürler', 'çok kullanışlı ve kaliteli bir ürün fiyatı da gayet uygun kargo hızlı ve sorunsuz bir şekilde elime ulaştı teşekkürler']"
5,77,5_geldi_aldım_guzel_güzel,"['geldi', 'aldım', 'guzel', 'güzel', 'beğendik', 'yok', 'gerek', 'süper', 'çok', 'begendim']","['cok memnunuz en pahali markalardan almaya hic gerek yok erkek arkadasima aldim gayet isimizi goruyor', 'cok memnunuz en pahali markalardan almaya hic gerek yok erkek arkadasima aldim gayet isimizi goruyor', 'cok memnunuz en pahali markalardan almaya hic gerek yok erkek arkadasima aldim gayet isimizi goruyor']"
6,66,6_kargo_paketleme_çok_ederim,"['kargo', 'paketleme', 'çok', 'ederim', 'hızlı', 'ürün', 'tavsiye', 'geldi', 'güzel', 'cok']","['ceyizime aldım hızlı kargo ve paketleme çok iyi', 'öncelikte dün verdiği sipariş bugün elime geldi jet hızıyla çok teşekkür ederim ürün öyle güzel öyle sağlam paketlemişler ki anlatamam 2 tane ayrı kutuya koymuşlar alt üst ayrı karton bariyer gerçekten bu kadar beklemiyordum neyse gelelim sadete çok estetik kullanımı kolay uygulaması anlaşılır wi-fi özleliği var dijital göstergeye temas etmeden telefondan açma kapama yapabiliyorsunuz çok konforlu hele ki çocukluysanız ben tam 3 tane aldım 1 tanesi 5.5 litre keşke onuda da 7.3 alsaydım yemek pişirmeden önce küçük bir fırın kabına su doldurup limon sıktım 10 dakika çalışırdım koku filan kalmadı ilk işim patates kızartması denemek oldu 20 dakikada çok güzel piçte 10 dakika sonra uyarı verdi bir karıştırdım 20 dakikaya o şekşlde tamamladım şimdilik memnunum ilerde güncelleme yapabilirim deneyimlediğim kadarıyla', 'öncelikte dün verdiği sipariş bugün elime geldi jet hızıyla çok teşekkür ederim ürün öyle güzel öyle sağlam paketlemişler ki anlatamam 2 tane ayrı kutuya koymuşlar alt üst ayrı karton bariyer gerçekten bu kadar beklemiyordum neyse gelelim sadete çok estetik kullanımı kolay uygulaması anlaşılır wi-fi özleliği var dijital göstergeye temas etmeden telefondan açma kapama yapabiliyorsunuz çok konforlu hele ki çocukluysanız ben tam 3 tane aldım 1 tanesi 5.5 litre keşke onuda da 7.3 alsaydım yemek pişirmeden önce küçük bir fırın kabına su doldurup limon sıktım 10 dakika çalışırdım koku filan kalmadı ilk işim patates kızartması denemek oldu 20 dakikada çok güzel piçte 10 dakika sonra uyarı verdi bir karıştırdım 20 dakikaya o şekşlde tamamladım şimdilik memnunum ilerde güncelleme yapabilirim deneyimlediğim kadarıyla']"
7,52,7_anneme_aldım_çok_beğendi,"['anneme', 'aldım', 'çok', 'beğendi', 'güzel', 'annemde', 'derim', 'de', 'tavsiye', 'annem']","['anneme aldım beğendi', 'anneme aldım beğendi', 'anneme aldım beğendi']"
8,50,8_beğendim_çok_büyük_güzel,"['beğendim', 'çok', 'büyük', 'güzel', 'kullanıyorum', 'aldım', 'için', 'çeyizim', 'ıcını', 'sağkolum']","['çok güzel beğendim', 'çok güzel çok beğendim', 'çok güzel çok beğendim']"
9,34,9_anneme_memnun_ürünü_de,"['anneme', 'memnun', 'ürünü', 'de', 'aldım', 'hem', 'çok', 'oda', 'performans', 'kalabalık']","['çeyizime almıştım dört bin tlye denemek için açınca annem çok beğendi bende anneme verdim indirime düşmüş üç buçuk olmuş tekrardan sipariş verdim haznesi beş kişilk aile için ideal bence çok memnunum scheaferın zaten tüm elektrikli mutfak aletlerinin aldım kullanıyorum bu konuda güvendiğim bir marka ve airfray çok kullanışlı her şey çok güzel ve lezzetli oluyor iyiki almışım dedirtti', 'çeyizime almıştım dört bin tlye denemek için açınca annem çok beğendi bende anneme verdim indirime düşmüş üç buçuk olmuş tekrardan sipariş verdim haznesi beş kişilk aile için ideal bence çok memnunum scheaferın zaten tüm elektrikli mutfak aletlerinin aldım kullanıyorum bu konuda güvendiğim bir marka ve airfray çok kullanışlı her şey çok güzel ve lezzetli oluyor iyiki almışım dedirtti', 'çeyizime almıştım dört bin tlye denemek için açınca annem çok beğendi bende anneme verdim indirime düşmüş üç buçuk olmuş tekrardan sipariş verdim haznesi beş kişilk aile için ideal bence çok memnunum scheaferın zaten tüm elektrikli mutfak aletlerinin aldım kullanıyorum bu konuda güvendiğim bir marka ve airfray çok kullanışlı her şey çok güzel ve lezzetli oluyor iyiki almışım dedirtti']"
10,32,10_indirimden_performans_fiyat_aldim,"['indirimden', 'performans', 'fiyat', 'aldim', 'gayet', 'memnunum', 'fiyatı', 'ki', 'kadar', 'kesinlikle']","['fiyat performans harika ben indirdimde almıştım ablam için iyi ki almışım şimdiye kadar neden almadım diyor gayet kullanışlı çok memnunuz', 'fiyat performans harika ben indirdimde almıştım ablam için iyi ki almışım şimdiye kadar neden almadım diyor gayet kullanışlı çok memnunuz', 'fiyat performans harika ben indirdimde almıştım ablam için iyi ki almışım şimdiye kadar neden almadım diyor gayet kullanışlı çok memnunuz']"
